name,value,year,lastValue,rank
CHEM,53,2018.11.00,53,4
ELEC,2430,2018.11.00,2430,5
ENG,2233,2018.11.00,2233,6
Language Centre,4581,2018.11.00,4521,2
SCI,6984,2018.11.00,6984,7
ARTS,413,2018.12.00,413,1
BIZ,2640,2018.12.00,2640,2
CHEM,53,2018.12.00,53,3
ELEC,2430,2018.12.00,2430,4
ENG,2233,2018.12.00,2233,5
Language Centre,4581,2018.12.00,4581,6
SCI,6984,2018.12.00,6984,7
ARTS,533,2019.01.00,413,2
BIZ,2720,2019.01.00,2640,3
CHEM,365,2019.01.00,53,1
ELEC,2430,2019.01.00,2430,4
ENG,2233,2019.01.00,2233,5
Language Centre,4581,2019.01.00,4581,6
SCI,6984,2019.01.00,6984,7
ARTS,533,2019.02.00,533,1
BIZ,2720,2019.02.00,2720,2
CHEM,365,2019.02.00,365,3
ELEC,2430,2019.02.00,2430,4
ENG,2233,2019.02.00,2233,5
Language Centre,4581,2019.02.00,4581,6
SCI,6984,2019.02.00,6984,7
ARTS,533,2019.03.00,533,2
BIZ,3070,2019.03.00,2720,1
CHEM,365,2019.03.00,365,3
ELEC,2430,2019.03.00,2430,4
ENG,2233,2019.03.00,2233,5
Language Centre,4581,2019.03.00,4581,6
SCI,6984,2019.03.00,6984,7
